,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
15,0.0264,https://api.spotify.com/v1/audio-analysis/1oqcT3rKnuyGf7gcQU8IXx,0.849,246267.0,0.678,1oqcT3rKnuyGf7gcQU8IXx,0.0408,7.0,0.284,-7.781,0.0,0.0344,108.681,long_term,4.0,https://api.spotify.com/v1/tracks/1oqcT3rKnuyGf7gcQU8IXx,audio_features,spotify:track:1oqcT3rKnuyGf7gcQU8IXx,0.963
16,0.919,https://api.spotify.com/v1/audio-analysis/2e57IPqdq4vtyTpTe98FYh,0.329,122788.0,0.41,2e57IPqdq4vtyTpTe98FYh,0.0037,2.0,0.39,-9.279,1.0,0.0465,146.132,long_term,4.0,https://api.spotify.com/v1/tracks/2e57IPqdq4vtyTpTe98FYh,audio_features,spotify:track:2e57IPqdq4vtyTpTe98FYh,0.678
17,0.00557,https://api.spotify.com/v1/audio-analysis/1veoLuuMcaSn6rPACuG52I,0.637,319918.0,0.79,1veoLuuMcaSn6rPACuG52I,0.209,1.0,0.0682,-7.785,0.0,0.0424,121.997,long_term,4.0,https://api.spotify.com/v1/tracks/1veoLuuMcaSn6rPACuG52I,audio_features,spotify:track:1veoLuuMcaSn6rPACuG52I,0.584
18,0.151,https://api.spotify.com/v1/audio-analysis/7zn3MMeHjee0OZAtsLMDxN,0.809,140625.0,0.411,7zn3MMeHjee0OZAtsLMDxN,0.165,6.0,0.223,-9.417,0.0,0.0373,127.962,long_term,4.0,https://api.spotify.com/v1/tracks/7zn3MMeHjee0OZAtsLMDxN,audio_features,spotify:track:7zn3MMeHjee0OZAtsLMDxN,0.4
19,0.182,https://api.spotify.com/v1/audio-analysis/6lmx4sntSr67OeniMt9uV2,0.799,217418.0,0.416,6lmx4sntSr67OeniMt9uV2,1.13e-05,9.0,0.0719,-6.529,1.0,0.0436,143.934,long_term,4.0,https://api.spotify.com/v1/tracks/6lmx4sntSr67OeniMt9uV2,audio_features,spotify:track:6lmx4sntSr67OeniMt9uV2,0.511
20,0.674,https://api.spotify.com/v1/audio-analysis/0C9JPibPAdaBvt60rbwEsJ,0.508,172063.0,0.35,0C9JPibPAdaBvt60rbwEsJ,0.0,9.0,0.587,-9.205,1.0,0.152,96.478,long_term,4.0,https://api.spotify.com/v1/tracks/0C9JPibPAdaBvt60rbwEsJ,audio_features,spotify:track:0C9JPibPAdaBvt60rbwEsJ,0.509
21,0.0232,https://api.spotify.com/v1/audio-analysis/54bHQOGLBNh5FNi5idc405,0.789,261252.0,0.419,54bHQOGLBNh5FNi5idc405,0.821,6.0,0.102,-10.116,1.0,0.0326,125.966,long_term,4.0,https://api.spotify.com/v1/tracks/54bHQOGLBNh5FNi5idc405,audio_features,spotify:track:54bHQOGLBNh5FNi5idc405,0.398
22,0.643,https://api.spotify.com/v1/audio-analysis/6QIPCzFHJRdNrD8Q8WH3Rv,0.619,221613.0,0.617,6QIPCzFHJRdNrD8Q8WH3Rv,9.82e-06,11.0,0.146,-5.987,0.0,0.0886,140.114,long_term,4.0,https://api.spotify.com/v1/tracks/6QIPCzFHJRdNrD8Q8WH3Rv,audio_features,spotify:track:6QIPCzFHJRdNrD8Q8WH3Rv,0.539
23,0.195,https://api.spotify.com/v1/audio-analysis/3JXZjzd9BjwLezJHO8VzOr,0.864,200547.0,0.436,3JXZjzd9BjwLezJHO8VzOr,0.0,4.0,0.126,-5.76,0.0,0.0555,121.91,long_term,4.0,https://api.spotify.com/v1/tracks/3JXZjzd9BjwLezJHO8VzOr,audio_features,spotify:track:3JXZjzd9BjwLezJHO8VzOr,0.784
24,0.117,https://api.spotify.com/v1/audio-analysis/4f9fwRXOdxxqFu8pgyLNSS,0.845,222367.0,0.745,4f9fwRXOdxxqFu8pgyLNSS,0.0,11.0,0.403,-7.339,1.0,0.255,100.08,long_term,4.0,https://api.spotify.com/v1/tracks/4f9fwRXOdxxqFu8pgyLNSS,audio_features,spotify:track:4f9fwRXOdxxqFu8pgyLNSS,0.796
