,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_range,time_signature,track_href,type,uri,valence
15,0.874,https://api.spotify.com/v1/audio-analysis/6Nle9hKrkL1wQpwNfEkxjh,0.776,210285.0,0.503,6Nle9hKrkL1wQpwNfEkxjh,0.0,0.0,0.112,-5.732,0.0,0.237,110.134,long_term,4.0,https://api.spotify.com/v1/tracks/6Nle9hKrkL1wQpwNfEkxjh,audio_features,spotify:track:6Nle9hKrkL1wQpwNfEkxjh,0.473
16,0.592,https://api.spotify.com/v1/audio-analysis/06WnUZymWyJamDivTWqJZA,0.559,221895.0,0.67,06WnUZymWyJamDivTWqJZA,0.000184,7.0,0.171,-4.985,1.0,0.0474,78.957,long_term,4.0,https://api.spotify.com/v1/tracks/06WnUZymWyJamDivTWqJZA,audio_features,spotify:track:06WnUZymWyJamDivTWqJZA,0.438
17,0.922,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,0.422,269560.0,0.264,3U4isOIWM3VvDubwSI3y7a,0.0,8.0,0.132,-7.064,1.0,0.0322,119.93,long_term,4.0,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,audio_features,spotify:track:3U4isOIWM3VvDubwSI3y7a,0.331
18,0.143,https://api.spotify.com/v1/audio-analysis/0I3q5fE6wg7LIfHGngUTnV,0.843,270507.0,0.806,0I3q5fE6wg7LIfHGngUTnV,0.0,4.0,0.0771,-5.946,0.0,0.269,94.948,long_term,4.0,https://api.spotify.com/v1/tracks/0I3q5fE6wg7LIfHGngUTnV,audio_features,spotify:track:0I3q5fE6wg7LIfHGngUTnV,0.613
19,0.393,https://api.spotify.com/v1/audio-analysis/6VNooTY5w9A9wg1YUsEbKB,0.697,218358.0,0.578,6VNooTY5w9A9wg1YUsEbKB,0.379,9.0,0.106,-5.213,0.0,0.095,114.995,long_term,4.0,https://api.spotify.com/v1/tracks/6VNooTY5w9A9wg1YUsEbKB,audio_features,spotify:track:6VNooTY5w9A9wg1YUsEbKB,0.3
20,0.00564,https://api.spotify.com/v1/audio-analysis/4fzsfWzRhPawzqhX8Qt9F3,0.617,311867.0,0.717,4fzsfWzRhPawzqhX8Qt9F3,0.0,10.0,0.408,-7.858,0.0,0.153,103.992,long_term,4.0,https://api.spotify.com/v1/tracks/4fzsfWzRhPawzqhX8Qt9F3,audio_features,spotify:track:4fzsfWzRhPawzqhX8Qt9F3,0.49
21,0.328,https://api.spotify.com/v1/audio-analysis/2Fxmhks0bxGSBdJ92vM42m,0.701,194088.0,0.425,2Fxmhks0bxGSBdJ92vM42m,0.13,7.0,0.1,-10.965,1.0,0.375,135.128,long_term,4.0,https://api.spotify.com/v1/tracks/2Fxmhks0bxGSBdJ92vM42m,audio_features,spotify:track:2Fxmhks0bxGSBdJ92vM42m,0.562
22,0.046,https://api.spotify.com/v1/audio-analysis/47aQT2aV12TyilaoYi1NiD,0.795,242200.0,0.978,47aQT2aV12TyilaoYi1NiD,8.29e-05,10.0,0.143,-6.097,0.0,0.0459,114.321,long_term,4.0,https://api.spotify.com/v1/tracks/47aQT2aV12TyilaoYi1NiD,audio_features,spotify:track:47aQT2aV12TyilaoYi1NiD,0.843
23,0.173,https://api.spotify.com/v1/audio-analysis/4Ri84aoor16uSkNtpAvPgQ,0.919,303572.0,0.44,4Ri84aoor16uSkNtpAvPgQ,0.00392,1.0,0.0681,-11.588,1.0,0.0689,114.972,long_term,4.0,https://api.spotify.com/v1/tracks/4Ri84aoor16uSkNtpAvPgQ,audio_features,spotify:track:4Ri84aoor16uSkNtpAvPgQ,0.369
24,0.0987,https://api.spotify.com/v1/audio-analysis/4sFyLyuJOUVMDcaSg1oHEa,0.818,243946.0,0.562,4sFyLyuJOUVMDcaSg1oHEa,0.813,10.0,0.355,-7.779,0.0,0.0356,125.03,long_term,4.0,https://api.spotify.com/v1/tracks/4sFyLyuJOUVMDcaSg1oHEa,audio_features,spotify:track:4sFyLyuJOUVMDcaSg1oHEa,0.57
25,0.686,https://api.spotify.com/v1/audio-analysis/1eCTQhsNA31FcwyNcJcf86,0.702,156188.0,0.616,1eCTQhsNA31FcwyNcJcf86,0.0,6.0,0.145,-4.903,1.0,0.326,80.482,long_term,4.0,https://api.spotify.com/v1/tracks/1eCTQhsNA31FcwyNcJcf86,audio_features,spotify:track:1eCTQhsNA31FcwyNcJcf86,0.507
26,0.146,https://api.spotify.com/v1/audio-analysis/5ECxlbd1DVZ7CsGCRM6WG0,0.521,285285.0,0.628,5ECxlbd1DVZ7CsGCRM6WG0,0.00159,5.0,0.249,-10.824,0.0,0.0277,93.001,long_term,4.0,https://api.spotify.com/v1/tracks/5ECxlbd1DVZ7CsGCRM6WG0,audio_features,spotify:track:5ECxlbd1DVZ7CsGCRM6WG0,0.431
27,0.0533,https://api.spotify.com/v1/audio-analysis/2YpeDb67231RjR0MgVLzsG,0.878,157067.0,0.619,2YpeDb67231RjR0MgVLzsG,0.0,6.0,0.113,-5.56,1.0,0.102,136.041,long_term,4.0,https://api.spotify.com/v1/tracks/2YpeDb67231RjR0MgVLzsG,audio_features,spotify:track:2YpeDb67231RjR0MgVLzsG,0.639
28,0.325,https://api.spotify.com/v1/audio-analysis/3bH4HzoZZFq8UpZmI2AMgV,0.828,216015.0,0.689,3bH4HzoZZFq8UpZmI2AMgV,0.0384,7.0,0.0808,-7.878,1.0,0.0326,123.931,long_term,4.0,https://api.spotify.com/v1/tracks/3bH4HzoZZFq8UpZmI2AMgV,audio_features,spotify:track:3bH4HzoZZFq8UpZmI2AMgV,0.853
29,0.665,https://api.spotify.com/v1/audio-analysis/1hgX0ZmmP7IRRjUFCIBrnQ,0.741,310133.0,0.592,1hgX0ZmmP7IRRjUFCIBrnQ,0.854,6.0,0.116,-9.059,0.0,0.0308,111.984,long_term,4.0,https://api.spotify.com/v1/tracks/1hgX0ZmmP7IRRjUFCIBrnQ,audio_features,spotify:track:1hgX0ZmmP7IRRjUFCIBrnQ,0.822
30,0.434,https://api.spotify.com/v1/audio-analysis/2LGL71GENQR0oC9jMwTTZY,0.624,225493.0,0.628,2LGL71GENQR0oC9jMwTTZY,0.0,7.0,0.179,-9.846,1.0,0.0303,108.102,long_term,4.0,https://api.spotify.com/v1/tracks/2LGL71GENQR0oC9jMwTTZY,audio_features,spotify:track:2LGL71GENQR0oC9jMwTTZY,0.783
